"subid","goal","true_state","utterance"
"14","informative","3","yes_amazing"
"14","informative","0","not_terrible"
"14","social","1","not_bad"
"14","social","2","yes_good"
"14","social","3","yes_amazing"
"14","social","0","not_bad"
"14","both","1","not_terrible"
"14","both","2","yes_good"
"14","both","3","yes_amazing"
"14","both","0","not_terrible"
"15","social","3","yes_good"
"15","social","2","yes_amazing"
"15","social","1","yes_good"
"15","social","0","not_bad"
"15","both","3","yes_amazing"
"15","both","2","yes_good"
"15","both","1","not_bad"
"15","both","0","not_bad"
"15","informative","3","yes_amazing"
"15","informative","2","yes_good"
"15","informative","1","not_bad"
"15","informative","0","yes_bad"
"22","social","3","yes_amazing"
"22","social","0","yes_good"
"22","social","1","not_terrible"
"22","social","2","yes_good"
"22","informative","3","yes_amazing"
"22","informative","0","yes_terrible"
"22","informative","1","not_terrible"
"22","informative","2","not_bad"
"22","both","3","yes_amazing"
"22","both","0","not_terrible"
"22","both","1","not_bad"
"22","both","2","yes_good"
"37","social","3","yes_amazing"
"37","social","2","yes_amazing"
"37","social","0","yes_good"
"37","social","1","yes_good"
"37","both","3","yes_amazing"
"37","both","2","yes_good"
"37","both","0","not_terrible"
"37","both","1","yes_good"
"37","informative","3","yes_amazing"
"37","informative","2","yes_good"
"37","informative","0","yes_terrible"
"37","informative","1","not_bad"
"39","both","3","yes_amazing"
"39","both","0","not_amazing"
"39","both","2","yes_good"
"39","both","1","not_terrible"
"39","social","3","yes_amazing"
"39","social","0","yes_amazing"
"39","social","2","yes_amazing"
"39","social","1","yes_amazing"
"39","informative","3","yes_good"
"39","informative","0","yes_terrible"
"39","informative","2","yes_good"
"39","informative","1","yes_bad"
"43","social","0","yes_good"
"43","social","1","yes_good"
"43","social","3","yes_amazing"
"43","social","2","yes_good"
"43","informative","0","yes_terrible"
"43","informative","1","yes_bad"
"43","informative","3","yes_amazing"
"43","informative","2","yes_good"
"43","both","0","yes_bad"
"43","both","1","not_terrible"
"43","both","3","yes_amazing"
"43","both","2","yes_good"
"46","informative","0","yes_bad"
"46","informative","2","yes_good"
"46","informative","1","yes_bad"
"46","informative","3","yes_amazing"
"46","social","0","not_bad"
"46","social","2","yes_amazing"
"46","social","1","not_bad"
"46","social","3","yes_amazing"
"46","both","0","not_terrible"
"46","both","2","yes_good"
"46","both","1","not_terrible"
"46","both","3","yes_amazing"
"52","informative","3","yes_amazing"
"52","informative","0","not_good"
"52","informative","1","yes_bad"
"52","informative","2","yes_good"
"52","both","3","yes_amazing"
"52","both","0","yes_terrible"
"52","both","1","yes_bad"
"52","both","2","yes_good"
"52","social","3","yes_amazing"
"52","social","0","yes_terrible"
"52","social","1","yes_bad"
"52","social","2","yes_good"
"53","both","0","not_bad"
"53","both","1","not_bad"
"53","both","3","yes_amazing"
"53","both","2","yes_good"
"53","informative","0","yes_terrible"
"53","informative","1","yes_bad"
"53","informative","3","yes_amazing"
"53","informative","2","yes_good"
"53","social","0","yes_amazing"
"53","social","1","yes_amazing"
"53","social","3","yes_amazing"
"53","social","2","yes_amazing"
"62","social","0","yes_good"
"62","social","3","yes_amazing"
"62","social","1","yes_good"
"62","social","2","yes_good"
"62","informative","0","not_good"
"62","informative","3","yes_amazing"
"62","informative","1","not_good"
"62","informative","2","yes_good"
"62","both","0","yes_terrible"
"62","both","3","yes_amazing"
"62","both","1","not_bad"
"62","both","2","yes_good"
"63","social","3","yes_amazing"
"63","social","0","yes_good"
"63","social","1","yes_good"
"63","social","2","yes_amazing"
"63","both","3","yes_amazing"
"63","both","0","not_terrible"
"63","both","1","not_bad"
"63","both","2","yes_good"
"63","informative","3","yes_amazing"
"63","informative","0","yes_terrible"
"63","informative","1","yes_bad"
"63","informative","2","yes_good"
"68","both","1","yes_good"
"68","both","2","yes_good"
"68","both","3","yes_amazing"
"68","both","0","not_terrible"
"68","social","1","yes_good"
"68","social","2","yes_amazing"
"68","social","3","yes_amazing"
"68","social","0","yes_good"
"68","informative","1","not_terrible"
"68","informative","2","yes_good"
"68","informative","3","yes_amazing"
"68","informative","0","not_terrible"
"70","informative","0","yes_terrible"
"70","informative","2","yes_good"
"70","informative","1","yes_bad"
"70","informative","3","yes_amazing"
"70","both","0","not_amazing"
"70","both","2","yes_good"
"70","both","1","not_amazing"
"70","both","3","yes_amazing"
"70","social","0","not_good"
"70","social","2","yes_amazing"
"70","social","1","yes_good"
"70","social","3","yes_amazing"
"81","informative","1","yes_good"
"81","informative","0","not_bad"
"81","informative","2","yes_good"
"81","informative","3","yes_amazing"
"81","social","1","yes_good"
"81","social","0","yes_good"
"81","social","2","yes_amazing"
"81","social","3","yes_good"
"81","both","1","not_bad"
"81","both","0","not_good"
"81","both","2","yes_good"
"81","both","3","yes_amazing"
"87","social","2","yes_amazing"
"87","social","3","yes_amazing"
"87","social","0","yes_good"
"87","social","1","yes_good"
"87","informative","2","yes_amazing"
"87","informative","3","not_bad"
"87","informative","0","yes_bad"
"87","informative","1","yes_bad"
"87","both","2","not_bad"
"87","both","3","yes_good"
"87","both","0","yes_good"
"87","both","1","yes_good"
"95","social","2","yes_amazing"
"95","social","1","not_bad"
"95","social","0","not_terrible"
"95","social","3","yes_amazing"
"95","both","2","yes_good"
"95","both","1","not_bad"
"95","both","0","not_terrible"
"95","both","3","yes_amazing"
"95","informative","2","yes_good"
"95","informative","1","not_bad"
"95","informative","0","not_terrible"
"95","informative","3","yes_amazing"
"100","informative","3","yes_good"
"100","informative","0","not_good"
"100","informative","2","yes_good"
"100","informative","1","not_bad"
"100","social","3","yes_amazing"
"100","social","0","yes_terrible"
"100","social","2","yes_good"
"100","social","1","not_bad"
"100","both","3","yes_amazing"
"100","both","0","not_good"
"100","both","2","yes_good"
"100","both","1","not_bad"
"104","social","2","yes_amazing"
"104","social","1","yes_amazing"
"104","social","3","yes_amazing"
"104","social","0","yes_amazing"
"104","both","2","yes_amazing"
"104","both","1","yes_amazing"
"104","both","3","yes_amazing"
"104","both","0","yes_amazing"
"104","informative","2","yes_good"
"104","informative","1","not_terrible"
"104","informative","3","yes_amazing"
"104","informative","0","not_good"
"120","informative","1","yes_bad"
"120","informative","0","yes_terrible"
"120","informative","2","yes_good"
"120","informative","3","yes_amazing"
"120","both","1","not_terrible"
"120","both","0","not_terrible"
"120","both","2","yes_good"
"120","both","3","yes_amazing"
"120","social","1","yes_amazing"
"120","social","0","yes_amazing"
"120","social","2","yes_amazing"
"120","social","3","yes_amazing"
"121","social","0","not_bad"
"121","social","3","yes_amazing"
"121","social","2","yes_good"
"121","social","1","not_bad"
"121","both","0","not_terrible"
"121","both","3","yes_amazing"
"121","both","2","yes_good"
"121","both","1","not_amazing"
"121","informative","0","yes_bad"
"121","informative","3","yes_amazing"
"121","informative","2","yes_good"
"121","informative","1","not_good"
"123","informative","3","yes_amazing"
"123","informative","1","yes_good"
"123","informative","0","yes_terrible"
"123","informative","2","yes_good"
"123","both","3","yes_amazing"
"123","both","1","not_terrible"
"123","both","0","yes_terrible"
"123","both","2","yes_good"
"123","social","3","yes_amazing"
"123","social","1","not_amazing"
"123","social","0","yes_terrible"
"123","social","2","yes_good"
"126","both","3","yes_amazing"
"126","both","1","yes_good"
"126","both","2","yes_good"
"126","both","0","not_bad"
"126","social","3","yes_amazing"
"126","social","1","not_bad"
"126","social","2","yes_amazing"
"126","social","0","yes_amazing"
"126","informative","3","yes_amazing"
"126","informative","1","not_good"
"126","informative","2","yes_good"
"126","informative","0","yes_terrible"
"132","both","3","yes_amazing"
"132","both","1","not_amazing"
"132","both","0","not_terrible"
"132","both","2","yes_good"
"132","social","3","yes_amazing"
"132","social","1","not_bad"
"132","social","0","yes_good"
"132","social","2","yes_amazing"
"132","informative","3","yes_amazing"
"132","informative","1","yes_bad"
"132","informative","0","yes_terrible"
"132","informative","2","yes_good"
"136","both","3","yes_amazing"
"136","both","2","yes_good"
"136","both","0","not_terrible"
"136","both","1","not_terrible"
"136","social","3","yes_amazing"
"136","social","2","yes_good"
"136","social","0","not_terrible"
"136","social","1","not_terrible"
"136","informative","3","yes_amazing"
"136","informative","2","yes_good"
